id,name,line_ids/user_id/id,line_ids/name,line_ids/value
web_widget_x2many_2d_matrix_example.x2m_demo_5,One,,,
,,base.user_demo,A,1
,,base.user_demo,B,2
,,base.user_demo,C,3
web_widget_x2many_2d_matrix_example.x2m_demo_3,Two,,,
,,base.user_demo,E,5
,,base.user_demo,F,6
web_widget_x2many_2d_matrix_example.x2m_demo_2,Three,,,
,,base.user_root,G,8
,,base.user_demo,H,9
,,base.user_root,I,10
web_widget_x2many_2d_matrix_example.x2m_demo_1,Four,,,
,,base.user_root,L,12
,,base.user_demo,M,13
,,base.user_demo,N,14
,,base.user_demo,O,15
,,base.user_root,P,16
web_widget_x2many_2d_matrix_example.x2m_demo_4,Five,,,
,,base.user_demo,Q,18
